artist,ontour,listeners,playcount
TobyMac,0,337809,6809784
O Rappa,0,386675,13376720
Declan McKenna,0,1213381,39560509
Bohnes,0,200860,3351247
Barns Courtney,0,441745,8297711
Arrested Youth,0,202795,3762903
Leeland,0,178348,2724890
Casting Crowns,0,325317,6991020
Sanctus Real,0,213601,3054068
Os Paralamas Do Sucesso,1,441047,11087172
Las Pastillas del Abuelo,0,61821,1456694
I DONT KNOW HOW BUT THEY FOUND ME,1,723679,33195789
Moderatto,0,136281,1853552
Faith No More,0,1608007,59197791
Jet,1,2335457,30852489
Blind Melon,0,1326907,18454819
Live,0,1259343,21064569
The Velvet Underground,0,2899993,111102345
Ella Es Tan Cargosa,0,15527,174419
Moderatto,0,136281,1853552
Moderatto,0,136281,1853552
Los Bunkers,1,242739,10600688
Los Bunkers,1,242739,10600688
Empire of the Sun,1,2453092,56426522
BLUE ENCOUNT,1,171563,2470128
Survive Said The Prophet,1,201416,4826751
Bryce Fox,1,213435,2102601
Casting Crowns,0,325317,6991020
Flört,0,29179,811147
Los Tipitos,1,79956,884363
Esteman,0,144117,2739623
